"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Feb",2006,1,"Post_holiday",2,2,2,"6m_to_7m","325m_to_375m","None","N","N","N","Y","Y","Other","No_light","Clear","N","Yes","Collision","Light","N","N","N","Y","N"
"Feb",2006,1,"Post_holiday",1,1,2,"6m_to_7m","325m_to_375m","None","N","Y","Y","Y","Y","Dry","Daylight","Clear","Y","No","Off_the_road","Light","N","N","N","N","N"
"Feb",2006,4,"Work_day",1,1,2,"6m_to_7m","325m_to_375m","None","N","Y","N","Y","Y","Dry","Daylight","Clear","Y","No","Collision","Light","N","N","N","N","N"
"Feb",2006,5,"Work_day",1,3,2,"More_7m","More_375m","None","N","N","N","N","N","Dry","Dusk","Clear","Y","Not_needed","Other","Light","Y","N","N","N","N"
"Feb",2006,5,"Work_day",2,1,2,"6m_to_7m","325m_to_375m","None","N","Y","Y","Y","Y","Dry","Daylight","Clear","Y","Yes","Collision","Light","N","N","N","N","N"
"Feb",2006,5,"Work_day",1,1,2,"6m_to_7m","325m_to_375m","150m_to_250m","Y","Y","Y","Y","Y","Other","Daylight","Clear","N","No","Rollover","Light","N","N","N","N","N"
"Feb",2006,5,"Work_day",2,2,2,"More_7m","325m_to_375m","Less_150m","Y","N","Y","Y","Y","Dry","Dusk","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Feb",2006,6,"Pre_holiday",6,3,4,"More_7m","325m_to_375m","Less_150m","N","N","N","N","N","Dry","Daylight","Clear","Y","Yes","Collision","Light","N","Y","N","N","N"
"Feb",2006,7,"Holiday",1,1,3,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Dry","Daylight","Clear","Y","No","Other","Light","N","N","N","N","N"
"Feb",2006,2,"Work_day",2,2,2,"6m_to_7m","325m_to_375m","150m_to_250m","Y","N","Y","Y","Y","Dry","Artificial_not_enough","Clear","Y","No","Collision","Heavy","N","N","N","N","N"
"Feb",2006,4,"Work_day",4,2,3,"More_7m","325m_to_375m","None","N","Y","Y","Y","Y","Wet","Dusk","Light_rain","N","Yes","Collision","Light","Y","N","Y","N","N"
"Feb",2006,4,"Work_day",1,1,2,"More_7m","325m_to_375m","None","N","Y","Y","Y","Y","Wet","Daylight","Light_rain","Y","No","Collision","Light","N","N","N","N","N"
"Feb",2006,6,"Pre_holiday",2,2,2,"6m_to_7m","325m_to_375m","None","N","N","Y","Y","Y","Wet","No_light","Light_rain","Y","Yes","Other","Light","Y","N","N","N","N"
"Feb",2006,6,"Pre_holiday",2,2,2,"6m_to_7m","325m_to_375m","None","Y","Y","Y","Y","Y","Dry","Artificial_enough","Clear","Y","Yes","Off_the_road","Light","N","N","N","N","N"
"Feb",2006,7,"Holiday",4,2,2,"6m_to_7m","325m_to_375m","None","Y","N","N","Y","N","Wet","Daylight","Light_rain","Y","Not_needed","Collision","Light","Y","N","N","N","Y"
"Feb",2006,7,"Holiday",6,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Wet","No_light","Light_rain","Y","No","Collision","Light","Y","N","Y","N","N"
"Feb",2006,7,"Holiday",1,1,2,"6m_to_7m","325m_to_375m","None","N","N","Y","Y","Y","Wet","Daylight","Heavy_rain","N","Yes","Other","Light","Y","N","N","Y","N"
"Feb",2006,1,"Post_holiday",1,1,2,"6m_to_7m","325m_to_375m","None","N","N","Y","Y","N","Dry","No_light",NA,"N","Yes","Other","Light","Y","N","Y","N","N"
"Feb",2006,2,"Work_day",2,2,2,"6m_to_7m","325m_to_375m","None","N","Y","Y","Y","N","Wet","Daylight","Light_rain","N","Yes","Collision","Light","N","N","N","N","N"
